Post #,Date Posted,Name,"Suggestion 
(Copy/Paste)",Is this an idea? (Y/N),"Original Post 
or Comment?","Link to Source 
(article etc.)",Permalink,# Likes,# Comments,"# Shares/
Retweets","Dialogue Creation
(Y/N)","Quotable 
(Y/N)","Primary 
Theme","Secondary 
Theme","Tertiary 
Theme","Final 
Theme",,,,,
6,11/13,Miami Homes for All,"Fantastic idea! We don't currently have a landlord registry. We've been researching other cities who have seen some success, like Washington, D.C. At the moment, if there are any issues with a building it's generally up to code enforcement to investigate complaints. However, if we wanted to register landlords and charge licensing fees for example, it would be under the purview of the state (Department of Business and Professional Regulation).",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507276999363087/,,,,Y,,landlords,registry,,,,,,,
6a,11/13,Sabrina Velarde,"Certainly! Positive incentives for landlords is also a great idea. It would be great to be able to work with landlords to not only maintain affordability of their units, but also to help them preserve their buildings.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507276999363087/,,,,N,Y,landlords,registry,incentives,,,,,,
7,11/13,Adam Old,"Increase allowed residential density, add height, parking reductions and FLR in exchange for workforce/affordable set-asides around present and future SMART stops. Run transit faster and more frequently.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507322896025164/,,,,Y,N,zoning,building code,transit,,,,,,
8,11/13,Fred Christian,"1 Expand Section 8 
2 Create A separate State County Program for seniors Disabled that is portable and Must be honored by All Landlords 
3 Tax Credits to Rent to Elderly and The Disabled",Y,OP,,https://www.facebook.com/radicalpartners/posts/1708147942580535?comment_id=1708555629206433&comment_tracking=%7B%22tn%22%3A%22R%22%7D,,,,N,N,Section 8,special needs,,,,,,,
7a,,Adam Old,The most important thing is that the bonuses have to offset the added costs as well as the added hassle for working with the government. I don't know if the County's program is really attractive enough to encourage much new development.,N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507322896025164/,,,,N,N,inclusionary zoning,incentives,,,,,,,
9,,Tiffany Brave,Reliability is a major issue. Many potential renters often fall victim to scams. Reliable resources for housing are not as accessible to many renters. It would be beneficial to create a resource showcasing reliable housing that is easy to access.,N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507318369358950/,,,,Y,N,reliale housing,tool,,,,,,,
9,,Miami Homes for All,Thank you for participating Tiffany 🙂 You're right on target! You and Dana Bartholomew Koman are both referring to creating systems that assist potential renters (and landlords) to find each other. Like a landlord registry!,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507318369358950/,,,,Y,,landlord registry,tool,,,,,,,
9a,,Daniella Pierre,"In addition to the Landlord Registry, there should be a workshop or training centered around tenants rights. We over potential homeowners buyers workshop, why not provide one to renters as well. An informed renter is a win-win for both the Landlord and the Tenant.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507318369358950/,,,,Y,,workshop,training,,,,,,,
9b,,Miami Homes for All,"A landlord registry and perhaps a more publicly accessible system that highlights those issues? For example, the property appraiser's website can tell you whether the homeowner is up to date with their taxes, but you'd have to go through an exceedingly complicated search to find out if the property is in foreclosure. And, as a tenant, you'd have to file a motion in court to be kept in the loop about a foreclosure. 
So maybe a one-stop shop to list all of this in a LL registry?",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507318369358950/,,,,Y,Y,property information,,,,,,,,
9b,,Daniella Pierre,"Perhaps Miami needs its on ""Affordable Housing Wiki"" to inform, educate and identify available units.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507318369358950/,,,,N,,property information,,,,,,,,
10,,Alana Greer,"Include an overt step in the planning / zoning approval process that considers impacts to a neighborhoods affordability. We have endless rules on traffic, trees, and more, but no real place for our officials to ask themselves how development choices impact entire communities ability to afford where they live. Include residents and renters at all stages of the process to surface best ideas",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507314986025955/,,,,Y,Y,zoning code,resident input,,,,,,,
10,,Miami Homes for All,Yes! Fantastic idea Alana!! How do you think this should be implemented? Should the planning/zoning approval process be more streamlined to allow for public input? Or should there be some kind of neighborhood oversight panel that represents the concerns of the community being impacted?,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507314986025955/,,,,Y,Y,zoning code,resident input,,,,,,,
11,,Maria Luisa Castellanos,"Instead of giving the money to developers, have the municipalities and the county float bonds and then use the traditional methods to build affordable housing, using architects, engineers, and contractors. This methods will save the development fees that developers charge. It will only cost the public agencies the cost of the project managers which will run the program. This will be much less than the developer fee or profit that the normal developers want.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507277436029710/,,,,Y,N,bonds,,,,,,,,
12,,Melissa Gallo,"Generally: We've gotta support more transit-oriented development, along high transit corridors, particularly in under valued areas. We also have to continue to support mixed-use development. Allowing commercial spaces in residential buildings can help subsidize the rent of lower-income units.
We also HAVE to start putting resources INTO nonprofit and community development corporations (CDC's). There are a ton of them in Miami, most of which suffer from lack of resources and capacity to be able to compete with the big guys. Instead of advocacy on a project-by-project basis, focus should be to proactively push for influx of resources for CDC's.
Aside from this - we have to do better at coalition building and getting political buy-in. With that, we can explore mandatory things like mandatory inclusionary zoning & community benefits agreements (where you condition zoning approvals on community approval). Without political buy-in... only money talks. You have to find a way to incentivize the for-profit developer to want to do this. Tax breaks? Parking waivers? Expedited zoning approvals for developers that commit to affordability?
So happy to see Miami Homes For All KILLING it on the comments today! TY Radical Partners for exploring such an important topic!!",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507341892689931/,,,,N,N,mixed used development,incentives,community input,,,,,,
13,,Naomi Laurne Ross,"Fully acknowledge the discriminatory history of how our neighborhoods and affordable housing issues came to exist. It was systemically designed decades ago, but not many folks in key leadership roles (especially those with access to major funds and decision-making powers) today may be aware of this, so engage them in opportunities to have dialogues on what led to systemic injustices we've seen over the years and still do today, and plan with ALL the stakeholders involved with on-going community development projects (residents, local government, developers, small businesses, foundations, etc.) how to NOT repeat history from this point on. I'm in talks with Designing the WE, Enterprise Community Partners, and potential local partners about this already!",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507340989356688/,,,,Y,Y,historic context,resident input,,,,,,,
13a,,Adrian Madriz,"And one of the best models for undoing redlining is the Community Land Trust!

Thats what SMASH is using to defeat slumlords, end gentrification and develop Miami for the people, by the people!

#smashtheslumlords",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507340989356688/,,,,N,N,community land trust,,,,,,,,
13,,Leah Weston,"Yes, and then the next step is to address the much harder question of how we, in the present, address the misdeeds of the past in a manner that is fair and equitable.",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507340989356688/,,,,N,Y,historic context,,,,,,,,
14,,Leah Weston,"Most of the emphasis on housing affordability is, understandably, placed on the “housing” element. However, it cannot be ignored that one’s ability to afford housing is tied to one’s purchasing power. Florida’s minimum wage is too low in high cost areas. Cities (like Miami and Miami Beach) are presently preempted by the State of Florida from setting a higher minimum wage. My suggestion:
1) Legislation repealing the preemption law to allow municipalities to set a higher minimum wage.
2) Voluntary commitment by businesses in Miami to paying a living wage, so that the impossible burden of finding housing doesn’t fall so hard on workers.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507336736023780/,,,,Y,Y,minimum wage,state preemption,,,,,,,
14a,,Natalie Castellanos,"Right on, Leah Weston and Alana Greer! NY & SF are also in states that have expanded Medicaid to low-wage workers, so workers in those states don't go into financial ruin for accessing health services. If our County is serious about addressing affordability issues then I'd love to see our leaders take a stronger position on the option to expand Medicaid under the ACA, especially considering the fact that Miami-Dade has one of the highest rates of uninsured residents in the USA (approx. 25-30% county residents) due in large part to the nature of our service economy",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507336736023780/,,,,Y,Y,expenses,healthcare,,,,,,,
14a,,Leah Weston,"I think advocates on health care should strongly consider doing Medicaid expansion by state ballot initiative. At this point, I have very little faith in the legislature.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507336736023780/,,,,N,N,healthcare,legislation,,,,,,,
14b,,Megan Conyers,Having an alliance of corporates that agree to pay real living wages would help here. This is the main benefit I see from a company like Amazon coming in. Government regulation takes way too long to get approval and take effect; companies should take steps towards raising wages. This would also mean they could attract better talent and grow their operations steadily. #raisewages,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507336736023780/,,,,Y,Y,minimum wage,,,,,,,,
14c,,Alissa Farina,What if there was some kind of seal or title or certificate or something that businesses paying a living wage could get so consumers know to support them? Could also make procurement easier for larger companies/orgs that prioritize supporting living wage businesses.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507336736023780/,,,,N,N,minimum wage,,,,,,,,
15,,United Way,"37% of Miami households are one emergency away from falling into poverty. We call these families ALICE - Asset Limited, Income Constrained, Employed. They're our co-workers, our friends, our neighbors... the people who keep our economy humming.
Add this to the 21% of Miami households who are already in poverty, more than half of Miami is struggling. Their biggest struggle? Housing affordability.
Learn more at https://unitedwaymiami.org/…/o…/the-united-way-alice-report/",N ,OP,https://unitedwaymiami.org/what-we-do/our-work-in-financial-stability/the-united-way-alice-report/,https://www.facebook.com/groups/100greatideas/permalink/1507336409357146/,,,,N,Y,poverty,,,,,,,,
16,,Adrian Madriz,"3D Printed Homes.
Some companies can produce an entire home for $4/sq ft, and they are hurricane proof.
We can fast-track local approval of technologies like these by creating an ""Affordable Housing Innovation District"" where model units are built under the supervision of the state, county and city building departments.
Combine this idea with a Community Land Trust, and you can effectively end gentrification in certain areas and provide expedited relief housing to those impacted by slumlords.
Thanks to Mikeya Brown for the tip!
#SmashTheSlumlords",Y,OP,https://www.facebook.com/mashable/videos/10154991052664705/,https://www.facebook.com/groups/100greatideas/permalink/1507333779357409/,,,,,,housing innovation,3D printing,special districts,,,,,,
16,,Maggie Fernandez,At that price we can even get a pilot funded through the public space challenge. Submit the idea.,Y,C,,,,,,,,housing innovation,funding,,,,,,,
17,,Adam Old,Allow attached or detached accessory or in-law units to be built by right.,Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507325486024905/,,,,Y,N,accessory dwelling units,zoning code,,,,,,,
18,,Stuart Kennedy,"Work with local government to transfer land they own to a nonprofit set up for this purpose.
Create community ownership of that nonprofit through a cooperative or community land trust.
Create low-cost housing units for members.
Allow members to sell their membership (i.e. transfer their unit) to other community members, but with agreed upon, below-market appreciation.
Repeat.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507447272679393/,,,,Y,N,community land trust,land donation,,,,,,,
18,,Leah Weston,"We should also look to the private sector for land donation. Many CLTs exist because of private philanthropy. That should be a much more significant part of our culture here. Public land is difficult to dispose of, as there are many different competing good potential uses for it. The state could create tax incentives, kind of like the Homestead Exemption, or like the exemption from property taxes owed to churches (which, in itself, is a huge topic). Others might have better ideas. I’m no expert in taxes.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507447272679393/,,,,Y,Y,community land trust,land donation,incentives,,,,,,
18a,,Adrian Madriz,"Any City can foreclose on the liens they have placed on the property and seize it outright if the amount exceeds the property value. They can then auction it. And if Miami-Dade does what Broward already does, they can give CLTs the first right of refusal.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507447272679393/,,,,Y,N,community land trust,land donation,,,,,,,
18a,,Adam Old,In NY the CLT’s have priority at tax auctions. I’m not sure why that isn’t the case here.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507447272679393/,,,,N,N,community land trust,land donation,,,,,,,
18b,,Rick Herrero,*streamline permitting for community cooperatives to build edible gardens and solar farms.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507447272679393/,,,,N,N,sustainability,,,,,,,,
19,,Melissa Dynan,"I'd like to see some focus addressing housing needs for the homeless. The city of Miami could capitalize upon grants under the Substance Abuse and Mental Health Services Administration’s Recovery Support Strategic Initiative, part of a $121 million effort nationwide to increase access to permanent housing for people with mental and substance use disorders. My former employer in Boston, Pine Street Inn, was leader in creating housing a number of different ways - building its own supportive housing, Housing First initiatives, parntering with faith-based groups to manage their properties, and acquiring foreclosures to rehab. Supportive housing, through forclosures, offer a unique opportunity especially when land is so scarce. How long can city/county leaders continue to walk by homeless downtown (or anywhere) and turning their faces away? Housing is the solution, not mats on a shelter floor. https://www.bostonglobe.com/…/zWiXHIKXBtzXsgx138…/story.html
Read more: http://www.pinestreetinn.org/our_pro…/housing/expansion_goal",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507438702680250/,,,,Y,N,homelessness,,,,,,,,
20,,Daniella Pierre,"There is also a growing concern of homelessness and housing affordability for our community college students. While many community colleges have addressed hunger by way of food pantries for students, in a recent Higher Ed report, from NPR, there are over 13 percent of homeless college students across the country and even more in our state.
To provide an answer, community colleges should consider on-campus living/residences for commuter and non-traditional college students in partnership with state/local government. We have the land...""lots"" of it, now all we need is the funding and support for this initiative. Perhaps Miami Dade College (the largest and most diverse college in the nation) can serve as a model for this. #100GreatIdeas",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507437422680378/,,,,,,student housing,funding,homelessness,,,,,,
20,,Daniella Pierre,"There is guidance on how to get something like this to happen. Several smaller community colleges in our very state have already began this work, and already have housing for their students. Funding to support this can come from donors, partnerships and even from our state legislature. I have also pitched this idea to Lennar and DR Horton Homes a while back to see if they would be interested too; as a developer and/or donor of this. There is also a way to connect it to students' federal financial aid (may take some additional guidelines). All in all, there is need for housing, that is both accessible and affordable for students. While this may not be a primary focus, it should be one that we look to establishing here for students.",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507437422680378/,,,,Y,Y,student housing,funding,homelessness,,,,,,
21,,Andrew Frey,[no text] https://www.youtube.com/watch?v=5HiGk1Eq8es,N,,http://www.lao.ca.gov/reports/2015/finance/housing-costs/housing-costs.aspx,https://www.facebook.com/groups/100greatideas/permalink/1507427146014739/,,,,N,N,,,,,,,,,
22,,Amy Rodriguez,"Affordable housing criteria and standards need to be revisited. When someone is 60% of their monthly income and being the only employed person in the house hold that leaves very little for other important needs, bills and food. So the definition of affordable is not meeting the standards. It needs to be redefined.",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507415429349244/,,,,Y,N,definiton of affordable hosuing,,,,,,,,
22,,Leah Weston,It would also help immensely if the federal government were to completely revisit its extremely antiquated formula for determining the poverty line.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507415429349244/,,,,Y,Y,poverty line,,,,,,,,
23,,Drey Aradanas,How do we address new industries that exacerbate our housing affordability problem?,N,OP,http://www.miamiherald.com/opinion/op-ed/article165378182.html,https://www.facebook.com/groups/100greatideas/permalink/1507414946015959/,,,,Y,N,airbnb,private business,,,,,,,
23,,Miami Homes for All,"Great question Drey! Thank you for sharing! Like Leah Weston and Melissa Gallo mentioned earlier, Miami-Dade County is pre-empted (not allowed) from doing much in terms of regulating short-term rentals. This means that companies like Airbnb and Homeaway would need to voluntarily agree to address their impacts on housing affordability. One such solution that is being explored, is engaging these companies and asking them to seek a nominal nightly fee (just $1!!) per listing.",Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507414946015959/,,,,N,Y,airbnb,private business,,,,,,,
24,,Adam Old,The idea would be that the city could recoup its investment (and then some) while simultaneously allowing nonprofits and small for-profit developers to benefit from building where usually only large developers are able to benefit and we end up with non-granular mega projects that don't help the community.,Y,OP,http://www.andrewalexanderprice.com/blog20170419.php#.WgnBD7bGx24,https://www.facebook.com/groups/100greatideas/permalink/1507388042685316/,,,,Y,N,subdivided plots,cost of land,,,,,,,
25,,Daniel Anzueto,"Increasing access to affordable housing is key, but removing the stigma associated with living in affordable housing or how people view residents of affordable housing.
""Adrianne Todman, executive director of the District of Columbia Housing Authority, says the stereotypes just aren’t fair. “It’s not welfare queens,” she says. “Our residents are children, seniors, veterans, people who are working and paying rent.” In fact, all public housing tenants pay at least some rent.""",N,OP,https://www.citylab.com/equity/2013/05/selling-public-public-housing/5687/,https://www.facebook.com/groups/100greatideas/permalink/1507376646019789/,,,,Y,Y,PR,emergency assistance,,,,,,,
25,,Daniel Anzueto,It's all about messaging. Our awesome hosts at Radical Partners taught us how to change our story to match our goals. We need to review what is our current message? Are we saying affordable housing is a last step in crisis or are we championing it as a space to rebuild and restore our community?,N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507376646019789/,,,,Y,Y,PR,,,,,,,,
25a,,Miami Homes For All,Do you think that we should have funding set-aside for emergency rental and utility assistance? Outside of what some of our community action agencies and the HAND program already provide?,N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507376646019789/,,,,,,emergency assistance,,,,,,,,
26,,Andrew Frey,"""...There is an oversupply of spread-out McMansions because developers have found it easier and more profitable to build ever-larger houses in locations where they do not have to deal with hostile neighborhood groups.""",N,OP,https://www.americamagazine.org/politics-society/2017/04/18/welcoming-stranger-means-welcoming-new-housing,https://www.facebook.com/groups/100greatideas/permalink/1507371536020300/,,,,,,development barriers,,,,,,,,
27,,Yannell Selman,"Miami-Dade County should consider making a special first-time home buyer program for MDCPS teachers! Teacher salary is abysmally low in Florida, and no where is the problem of affordable housing worse than in Miami. As part of my work with P.S. 305, I've interviewed dozens of public school teachers. In almost every single meeting, teacher pay is mentioned as a reason that teachers might have to leave the profession or the city.
San Francisco has an innovative ""Teacher Next Door"" program we could replicate! 
""The Mayor's Office of Housing and Community Development (MOHCD) administers the Teacher Next Door (TND) Program to assist educators employed with the San Francisco Unified School District (SFUSD) with the purchase of their first home in San Francisco. TND funds can be used for down payment and closing costs to purchase a below market rate (BMR) or a market rate unit in conjunction with any other subordinate financing as long as the borrower meets all used program qualifications. The term of the TND is 10 years. There is no interest, nor shared appreciation. After the 5th year, the loan is forgiven at rate of 20% per year, and at the end of the 10th year, the loan is forgiven in its entirety.""",Y,OP,http://sfmohcd.org/teacher-next-door-program-tnd,https://www.facebook.com/groups/100greatideas/permalink/1507357846021669/,,,,Y,Y,first time home buyers,,,,,,,,
27,,Melissa Dynan,Love the idea- and for it to be extended to those working in the nonprofit sector...who make even less than teachers. Sad on all accounts.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507357846021669/,,,,,,,,,,,,,,
27,,Daniella Pierre,This is great! Perhaps we can also consider expanding to first-year college faculty and staff too.,Y,C,,https://www.facebook.com/groups/100greatideas/permalink/1507357846021669/,,,,,,,,,,,,,,
28,,Maggie Fernandez,"We did it for Libraries, Climate and Transit with positive results. It’s time we build a Housing Alliance/citizens lobby to demand change and advocate for good public policy. Housing folks are already joining the climate alliance, and climate the transit. Truth is they are all inter-rated and each can help each other.",Y,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507356756021778/,,,,,,resident input,,,,,,,,
28,,Leah Weston,"One thing that I think the Coalition to Save the Libraries did very well was learn and successfully engage in the budget process. That was smart. It's a lot harder to succeed with a blanket statement like, ""fund more affordable housing."" It's much more likely to get traction when there are very specific (and realistic) asks from the budget.",N,C,,https://www.facebook.com/groups/100greatideas/permalink/1507356756021778/,,,,,,,,,,,,,,
29,,Joseph Murillo,The focus should go beyond affordable housing. The members of that and every community should be provided with ample parks as green space. This would bring the community members out of their homes to unconsciously get exercise and have a healthier way of living as well. If the community engages in these spaces then awareness and security will naturally emerge,N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507356269355160/,,,,,,green space,,,,,,,,
30,,Valencia Gunder,"I advocate for subsidized housing over affordable housing. When 60% of a city is under the federal poverty line (21k).... affordable should be changed to subsidized. Without it, there will be no where for many to live.",N,OP,,https://www.facebook.com/groups/100greatideas/permalink/1507354202688700/,,,,,,subsidized housing,,,,,,,,
31,,Mileyka Burgos,"We need to look at sustainable communities instead of isolating housing. Supporting existing communities, small businesses and talent.",N,OP,https://www.citylab.com/equity/2017/09/here-is-everything-thats-wrong-with-bodega-the-startup-that-destroys-bodegas/539739/?utm_source=nl__link1_091417&silverid=MzMwMDYwNTY5NTIzS0,https://www.facebook.com/groups/100greatideas/permalink/1507514942672626/,,,,,,,,,,,,,,
32,,Andrew Frey,"White House Housing development Toolkit 2016-09: ""The growing severity of undersupplied housing markets is jeopardizing housing affordability for working families, increasing income inequality by reducing less-skilled workers’ access to high-wage labor markets, and stifling GDP growth by driving labor migration away from the most productive regions.""",N,OP,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/Housing_Development_Toolkit%20f.2.pdf,https://www.facebook.com/groups/100greatideas/permalink/1507507986006655/,,,,,,,,,,,,,,
